,clean_text
475,prince crowned top music earner prince earned more than any other pop star in beating artists such madonna and elton john in us magazine rolling stone s annual list. the singer banked $. (£.) from concerts album and publishing sales with his musicology tour and album. he kept madonna in second place as she earned $. (£.) while embarking on her global re-invention tour. veterans simon and garfunkel were in place their comeback tour helping them earn $. (£.) last year. prince returned to centre stage after a decade in the commercial wilderness the magazine reported. the singer s tour took $. (£.) in ticket sales and he sold . million copies of his latest album musicology. although she grossed more than prince last year madonna remained in second place because of the monumental production costs of her tour. heavy metal band metallica s madly in anger with the world tour helped push their earnings up to $. (£.). they were ahead of sir elton john who took fourth place and almost $. (£) from performances including a debut on the las vegas strip. other seasoned performers in the list included rod stewart whose sold-out shows and third volume of the great american songbook covers album helped net him £ (£). the highest-ranking rap act in the list was cent who at number took $ (£) to the bank.
1465,parties plans for council tax anger at council tax rises spilled over into mass protests in when the average english bill rose .%. pensioners protests spread - some marched others simply refused to pay the increase. some such as -year-old elizabeth winkfield said they would rather go to jail. the audit commission found the whole local government finance system was fundamentally flawed and all three of the main parties have said the system has to change. labour says it wants to retain the property-based tax but reform it to make it fairer and says there is scope for councils to become more efficient. they say they are already helping pensioners with council tax bills with a £ lump sum for the over- and last year the government capped some local councils budgets to keep demands down. deputy prime minister john prescott has said the current system is not sustainable in the long term and said there would be radical reform . the party says this year s increases will be the lowest in a decade. a report last year looked at increasing the number of council tax bands and other forms of local taxation such as reformed business rates although no decisions have been made. an independent inquiry into its findings the lyons review is due to report back at the end of . the tories have promised a reduction on bills for pensioners who they say have been hardest hit by year-on-year increases in council tax. they say they can save £ on government waste of which £. could be used to cut pensioners bills by an average of £. it would not be means tested say the tories because that would create more bureaucracy and could discourage people from saving for their retirement. instead households where council tax payers are over would get a rebate covering half their bill up to a maximum of £. the tories also say they are suspicious about any proposals to revalue homes - currently graded according to their value in - because they believe seven million of homes could move up a band. the liberal democrats want to do away with the council tax altogether and switch to a local income tax of the kind seen in the usa norway and switzerland. the rate would be set locally but administered by the inland revenue which they say would save at least £. they say the council tax is the most unpopular and most unfair tax in britain because it puts a ceiling on what the richest pay. the party says it would aim for a £ tax-free personal allowance or a £ allowance for the over-. after that income would be taxed up to £ . the lib dems say their plan is fairer more efficient has already been tested abroad and offers more accountability.
714,amex shares up on spin-off news shares in american express surged more than % on tuesday after it said it was to spin off its less profitable financial advisory subsidiary. the us credit card to travel services giant said off-loading american express financial advisors (aefa) would boost its profitability. aefa has more than advisers selling financial advice funds and insurance to . million customers. over the years it has delivered poor profits and even some losses. this is an excellent move by american express to focus on its core businesses and sell off a laggard division which has been a problem for quite some time said marquis investment research analyst phil kain. analysts estimate that a stand-alone aefa could have a market value of $ (£.). the unit was acquired by american express years ago as investors diversified service of minneapolis at a time when firms were amassing one-stop financial empires. however the business of selling investments was never integrated with the rest of the group.
1444,ferguson rues failure to cut gap boss sir alex ferguson was left ruing manchester united s failure to close the gap on chelsea everton and arsenal after his side s - draw with fulham. premiership leaders chelsea and the gunners endured a - stalemate on sunday giving united the chance to make up some ground in the league. but ferguson said: i think what makes it so bad is that both our rivals dropped points at the weekend. it was a great opportunity - and we haven t delivered. united went ahead through alan smith in the minute before bouba diop s superb -yard strike cancelled out the visitors lead in the minute. ferguson described the result as an absolute giveaway after united had earlier missed a host of opportunities to finish off the encounter. he said: it was a good performance - some of the football was fantastic - but we just didn t finish them off. in fairness it s a fantastic strike from the fulham player. the result leaves ferguson s side fourth in the league on points - four points behind arsenal and a further five back from chelsea.
247,steady job growth continues in us the us created fewer jobs than expected in december but analysts said that the dip in hiring was not enough to derail the world s biggest economy. according to labor department figures new jobs were added last month. that took s total to . million the best showing in five years. job creation was one of last year s main concerns for the us economy. while worries still remain the conditions are set for steady growth in analysts said. the unemployment rate stayed at .% in december and about jobs will need to be created each month if that figure is to drop. it was a respectable report said michael moran analyst at daiwa securities. payroll growth in december was a little lighter than the consensus forecast but we had upward revisions to the prior two months and an increase in manufacturing employment. manufacturing is a cyclical area of the economy and if it s showing job growth it s a good indication that the economy is on a solid growth track. that means that the federal reserve is likely to continue its policy of raising interest rates. the fed lifted borrowing costs five times last year to .% citing evidence the us economic recovery was becoming more robust. job creation was one of last year s main concerns for the us economy and proved to be a main topic of debate in the us presidential election. while demand for workers is far from booming the conditions are set for steady growth. overall compared to the previous year it looks great it just keeps going stronger and stronger and i expect that to be the case in said kurt karl economist at swiss re in new york. meanwhile economists cautioned against reading too much into data from the federal reserve showing an unexpected $. drop in consumer debt in november. a fall in consumer spending which makes up about two-thirds of all us economic activity could help limit the extent of any future interest rate rises. but economists said there could be a number of reasons for a fall in the borrowing which include credit cards and personal loans while noting that such figures can vary on a month-to-month basis.
1764,nintendo ds aims to touch gamers the mobile gaming industry is set to explode in with a number of high-profile devices offering a range of gaming and other features such as movie and music playback. market leader nintendo however is releasing a handheld console that it says will revolutionise the way games are played. the first striking thing about the ds is how retro it looks. far from looking like a mould-breaking handheld it looks more like nintendo dug out a mould from a handheld prototype. the lightweight clam shell device opens up to reveal two screens and when switched on it instantly reveals its pedigree. both screens are crisp and clear while the bottom of the two is touch sensitive. nintendo has given developers free rein to utilise the dual screens and ability to control the action by simply touching the screen. the japanese gaming giant hopes the ds will maintain the firm s pre-eminence in an increasingly-competitive mobile gaming market. nintendo first launched its gameboy console in and has dominated the market ever since. but its lead can no longer be taken for granted. sony will enter the market later this year with its playstation portable while start-up companies gizmondo and tapwave zodiac are also offering hybrid devices. we believe the ds will appeal to all ages both genders and gamers of any skill said david yarnton nintendo europe s general manager said at the recent press launch for the handheld. with its two screens wireless connectivity and backwards compatibility with the gameboy advance the ds certainly has a number of unique selling points. it went on sale in the us in mid-november priced $ and nintendo says sales have exceeded expectations without giving detailed figures. japan and europe will have to wait until the first quarter of to get the device. with more than two million pre-orders for the device in japan nintendo is confident it will keep its number one spot. but will the device prove to be as revolutionary as claimed the game ships with a demo of metroid hunters - a action title which can be played alone or with a group of friends using the machine s wireless capabilities. it certainly looks impressive on the small machine and plays smoothly even with a group of people. the game can be controlled by using the supplied stylus to aim. the top screen is used to navigate the action while the bottom screen offers a top-down map and the ability to switch weapons. it is certainly a unique control method and while it makes aiming more controlled it can be a little disorientating. super mario ds is a faithful re-creation of the nintendo classic with a host of new mini-games and new levels. the game looks stunning on the portable machine and the sound too is impressive for such a small machine. one thing is for certain. hardened gamers will have to learn to adapt to a new way of playing while it could prove to be an accessible way in to gaming for novices ultimately the success or failure of the device lies in the hands of developers. if they manage to create titles which use the nintendo ds s key features then a whole new market of gamers could open up. the fear is that the touch screen and voice recognition are treated as little more than gimmicks.
36,gamers snap up new sony psp gamers have bought almost all of the first batch of sony s new playstation portable (psp) games console which went on sale in japan on sunday. thousands of people queued for hours to get hold of one of the psps which were shipped to retailers. the handheld console can play games music and movies and goes on sale in europe and north america next year. despite the demand sony said it would not increase the -strong stock of psps it plans to ship by year s end. sony says it intends to ship three million of the consoles by march . the company is hoping to challenge the dominance of nintendo in the handheld market. nintendo released its new ds console earlier this year and has already raised shipment targets for the device by %. the psp is selling in japan for yen ($; £) while nintendo s ds console sells in the us and japan for $ (£). nintendo s goal is to ship million of its new nintendo ds handheld consoles by march .
900,kenteris denies faking road crash greek sprinter kostas kenteris has denied claims that he faked a motorbike crash to avoid a doping test days before the start of the olympics. kenteris and fellow sprinter katerina thanou are set to learn if they will face criminal charges this week. part of the investigation has centred on whether they staged the crash. kenteris insisted: the accident happened. i went crazy when i found out i had supposedly missed a test and i wanted to rush to the olympic village. kenteris speaking on greece s alter television station also claimed that he asked to be tested for banned substances in hospital after the crash. i told the hospital which was an olympics-accredited hospital to call the ioc and have me tested on the spot but no-one came. after a drama which dominated newspaper headlines in greece as athens prepared for the start of the athens games kenteris and thanou eventually withdrew. but kenteris has continually protested his innocence - and on sunday blamed greek olympic committee officials and his former coach christos tzekos for failing to inform him of the test. the -year-old insisted he will be happy if he is charged so he can clear his name. if a decision is taken to have charges filed against me i will accept it gladly. a prosecution means that the case will be cleared... i want to go to the end and then we ll see who s right and who isn t. kenteris a greek hero after winning gold in the at the olympics in sydney also confirmed that he was due to light the flame at the athens opening ceremony. i had even rehearsed lighting the cauldron he said.
1953,business confidence dips in japan business confidence among japanese manufacturers has weakened for the first time since march the quarterly tankan survey has found. slower economic growth rising oil prices a stronger yen and weaker exports were blamed for the fall. december s confidence level was below that seen in september the bank of japan said. however september s reading was the strongest for years. the economy is at a pause but unlikely to fall the economy minister said. it will feel a bit slower (next year) than this year and growth may be a bit more gentle but the situation is that the recovery will continue said economy minister heizo takenaka. in the bank of japan s december survey the balance of big manufacturers saying business conditions are better minus those saying they are worse was down from in september. japan s economy grew by just .% in the three months to september according revised data issued this month. with the recovery slowing the world s second biggest economy is now expected grow by .% in . the tankan index is based on a survey of firms. big manufacturers were even more pessimistic about the first quarter of ; their views suggest the march reading could go as low as - still in positive territory but weaker. the dollar s decline has strengthened the yen making japanese exports more expensive in the us. china s attempts to cool down its fast-growing economy have also hit japanese industry s sales abroad. confidence among non-manufacturers was unchanged in the final quarter of but it is forecast to drop one point in the march survey. nonetheless japanese firms have been stepping up capital investment and the survey found the pace is quickening. companies reported they expect to invest .% more in the year to march than the previous year - up from expectations of .% increase in the september tankan.
774,uk needs true immigration data a former home office minister has called for an independent body to be set up to monitor uk immigration. barbara roche said an organisation should monitor and publish figures and be independent of government. she said this would counter so-called independent groups like migration watch which she described as an anti-immigration body posing as independent. migration watch says it is not against all immigration and the government already publishes accurate figures. sir andrew green chairman of the organisation says there is no need for an independent body because office of national statistics data are accurate. he says he opposes large-scale immigration both on the grounds of overcrowding and culture . he said: for example over the next years one household in three will be due to immigration. we are already more overcrowded than india and we are four times more overcrowded than france. ms roche labour mp for hornsey and wood green believes legal migration is something we should welcome. she said her proposals mean we wouldn t have so-called independent experts like migration watch who come into this debate from an anti-immigration point of view. she went on: what i would like to see is there being a body which actually looked at the figures published them and was independent of government. i think that would go a long way to allaying some of the fears that are sometimes whipped up during this debate.
1732,mobiles not media players yet mobiles are not yet ready to be all-singing all-dancing multimedia devices which will replace portable media players say two reports. despite moves to bring music download services to mobiles people do not want to trade multimedia services with size and battery life said jupiter. a separate study by gartner has also said real-time tv broadcasts to mobiles is unlikely in europe until . technical issues and standards must be resolved first said the report. batteries already have to cope with other services that operators offer like video playback video messaging megapixel cameras and games amongst others. bringing music download services based on the success of computer-based download services will put more demands on battery life. fifty percent of europeans said the size of a mobile was the most important factor when it came to choosing their phone but more power demands tend to mean larger handsets. mobile phone music services must not be positioned to compete with the pc music experience as the handsets are not yet ready said thomas husson mobile analyst at jupiter research. mobile music services should be new and different and enable operators to differentiate their brands and support third generation network launches. other problems facing mobile music include limited storage on phones compared to portable players which can hold up to of music. the mobile industry is keen to get into music downloading after the success of apple s itunes napster and other net music download services. with phones getting smarter and more powerful there are also demands to be able to watch tv on the move. in the us services like tivo to go let people transfer pre-recorded tv content onto their phones. but the gartner report on mobile tv broadcasting in europe suggests direct broadcasting will have to wait. currently tv-like services where clips are downloaded are offered by several european operators like italy s tim and . mobile tv will have to overcome several barriers before it is widely taken up though said the report. various standards and ways of getting tv signals to mobiles are being worked on globally. in europe trials in berlin and helsinki are making use of terrestrial tv masts to broadcast compressed signals to handsets with extra receivers. a service from the norwegian broadcasting corporation lets people watch tv programmes on their mobiles hours a day. the service uses technology one of the standards for mobile tv. but at the end of the european telecommunications institute (etsi) formally adopted digital video broadcasting handheld (dvb-h) as the mobile tv broadcasting standard for europe. operators will be working on the standard as a way to bring real-time broadcasts to mobiles as well as trying to overcome several other barriers. the cost and infrastructure needs to set up the services will need to be addressed. handsets also need to be able to work with the dvb-h standard. tv services will have to live up to the expectations of the digital tv generation too which expects good quality images at low prices according to analysts. people are also likely to be put off watching tv on such small screens said gartner. digital video recorders like europe s sky+ box and video-on-demand services mean people have much more control over what tv they watch. as a result people may see broadcasting straight to mobiles as taking away that control. more powerful smartphones like the xda ii nokia sonyericsson and the orange offering web access text and multimedia messaging e-mail calendar and gaming are becoming increasingly common. a report by analysts instat/mdr has predicted that smartphone shipments will grow by % over the next five years. it says that smartphones will make up million out of million handsets shipped globally by .
1696,us airways staff agree to pay cut a union representing flight attendants at bankrupt us airways have agreed to a new contract that cuts pay by nearly %. the deal will help the carrier trying to survive by cutting costs by nearly $ (£) a year save about $. more than two thirds of its staff have now accepted wage cuts. but talks are still continuing with a union representing mechanics baggage handlers and cleaners which has so far failed to negotiate a new contract. the seventh largest carrier in the us sought bankruptcy protection for a second time in two years last september. it had been one of the quickest to deal with difficulties faced by the aviation industry after the / attacks in . but it emerged from chapter bankruptcy in march to face competition from low-cost carriers and higher fuel costs. us airways management has said it may need to start liquidating assets if it does not receive concessions from all staff by the middle of this month.
2046,tory expert denies defeatism the conservatives campaign director has denied a report claiming he warned michael howard the party could not win the next general election. the times on monday said australian lynton crosby told the party leader to focus on trying to increase the tories commons presence by to seats. but mr crosby said in a statement: i have never had any such conversation... and i do not hold that view. mr howard later added there was not one iota of truth in the report. the strategist helped australia s pm john howard win four elections. mr howard appointed mr crosby as his elections chief last october. mr crosby s statement said: the conservative party has been making an impact on the issues of lower tax and controlled immigration over the past week. it added: the labour party will be wanting to do all they can to distract attention away from the issues that really matter to people.
1813,yukos unit buyer faces loan claim the owners of embattled russian oil giant yukos are to ask the buyer of its former production unit to pay back a $ (£) loan. state-owned rosneft bought the yugansk unit for $. in a sale forced by russia to part settle a $. tax claim against yukos. yukos owner menatep group says it will ask rosneft to repay a loan that yugansk had secured on its assets. rosneft already faces a similar $ repayment demand from foreign banks. legal experts said rosneft s purchase of yugansk would include such obligations. the pledged assets are with rosneft so it will have to pay real money to the creditors to avoid seizure of yugansk assets said moscow-based us lawyer jamie firestone who is not connected to the case. menatep group s managing director tim osborne told the reuters news agency: if they default we will fight them where the rule of law exists under the international arbitration clauses of the credit. rosneft officials were unavailable for comment. but the company has said it intends to take action against menatep to recover some of the tax claims and debts owed by yugansk. yukos had filed for bankruptcy protection in a us court in an attempt to prevent the forced sale of its main production arm. the sale went ahead in december and yugansk was sold to a little-known shell company which in turn was bought by rosneft. yukos claims its downfall was punishment for the political ambitions of its founder mikhail khodorkovsky and has vowed to sue any participant in the sale.
710,criminal probe on citigroup deals traders at us banking giant citigroup are facing a criminal investigation in germany over a controversial bond deal. the deal saw the sale of euros ($.; £.) of government bonds in a few minutes on august with euros-worth then bought back later. the move was widely criticised at the time and now the german regulator has said it has found evidence of possible market manipulation. citigroup said it would continue to co-operate fully with the authorities. we are disappointed that the bafin has referred to the prosecutor the question of whether action should be brought against individuals involved citigroup said. if the traders are found guilty they could face a five-year jail term or a fine reuters reported bafin as saying. however under german criminal law prosecutors cannot pursue citigroup itself. germany s financial watchdog bafin told bbc news it had now transferred the investigation to the public prosecutor. i can confirm that bafin has passed through the case to the public prosecutor a bafin spokeswoman said. it is now a criminal investigation. we found clues of possible market manipulation the spokeswoman said which included signs of linked bond trading ahead of the main trades on august. germany s securities trading act says that if bafin finds such clues it has to put the case in the hands of the prosecutor. regulatory investigations are still going on in france the uk and elsewhere. some citigroup operations elsewhere in the world came under regulatory criticism in . its private banking operation in japan was closed down by regulators in tokyo after an aggressive sales culture led the bank to flout anti-money laundering rules.
1555,us bank in $ sec settlement five bank of america subsidiaries have agreed to pay a total of $ (£) to settle an investigation into fraudulent trading share practices. the us securities and exchange commission announced the settlements the latest in an industry-wide clean-up of us mutual funds. the sec also said it had brought fraud charges against two ex-senior executives of columbia distributor. columbia distributor was part of fleetboston bought by boa last year. three other ex-columbia executives agreed settlements with the sec. the sec has set itself the task of stamping out the mutual funds use of market-timing a form of quick-fire short-term share trading that harms the interests of small investors with whom mutual funds are particularly popular. in the last two years it has imposed penalties totalling nearly $ on funds. the sec unveiled two separate settlements one covering boa s direct subsidiaries and another for businesses that were part of fleetboston at the time. in both cases it said there had been secret deals to engage in market timing in mutual fund shares. the sec agreed a deal totalling $ with banc of america capital management bacap distributors and banc of america securities. it was made up of $ to pay back gains from market timing and $ in penalties. it is to be paid to the damaged funds and their shareholders. separately the sec said it had reached a $ deal - equally split between penalties and compensation - in its probe into columbia management advisors (cam) and columbia funds distributor (cfd) and three ex-columbia executives. these businesses became part of boa when it snapped up rival bank fleetboston in a $ merger last march. the sec filed civil fraud charges in a boston federal court against james tambone who it says headed cfd s sales operations and his alleged second in command robert hussey. the sec is pressing for the highest tier of financial penalties against the pair for multiple violations repayment of any personal gains and an injunction to prevent future breaches a spokeswoman for the sec s boston office told the bbc. there was no immediate comment from the men s lawyers. the sec s settlement with cam and cfd included agreements with three other ex-managers peter martin erik gustafson and joseph palombo who paid personal financial penalties of between $- .
607,swap offer for pirated windows xp computer giant microsoft has launched a pilot scheme to replace counterfeit versions of windows xp with legal ones. the first-time initiative is restricted to the uk and to users with pre-installed copies of the operating system in pcs bought before november. until december microsoft said software can be sent to it for analysis if there are doubts about its legitimacy. the company aims to detect illegal traders and turn users of fake versions of windows into legitimate ones. the windows xp counterfeit project will mean that software that is found to be counterfeit will be replaced for free subject to certain conditions until the end of the year. it is the first time microsoft has launched a counterfeit product replacement scheme in the world the company told the bbc news website. in june the software giant said that the major security update to windows xp service pack would not work with the most widely pirated versions of its operating system. the upgrade closed security loopholes in xp and added features that made it easier to keep machines safe from viruses and other types of malicious computer code. the us company invited anyone who had suspicions about their version of windows xp to submit it for testing as soon as possible. the procedure consists of a series of computer checks collating documents and filling out a witness statement. this is a great opportunity for users to confirm the authenticity of windows xp software whilst helping gather vital information about illegal traders said alex hilton licence compliance manager at microsoft. the scheme has also been welcomed by the technology and commerce industry. it is important that users ensure that they are legally licensed to avoid the risks of purchasing and using counterfeit products said david frost director general of the british chambers of commerce. the plan would enable microsoft to gather intelligence about illegal traders in a prompt way which would allow it to take action against software pirates. microsoft said it would evaluate the results of the uk programme before setting up similar schemes in other countries.
195,mp s shock at long lost daughter labour mp stephen pound has told of his shock and his joy on learning he fathered a daughter when he was out of control during the wild . lucy tracked down mr pound after her birth mother told her he was known as precious at school. despite being told he was a nutter who died at sea she found a reference to mr pound on friends reunited. lucy s mother kept her pregnancy secret and had her adopted at four weeks. mr pound found out about it last year. that happened when lucy wrote to his parliamentary office saying she believed he was her father. mr pound who is now married with two other teenage children said: i was a nutter and i was a sailor but i wasn t dead. he said his first reaction was to wonder if he was victim of a set-up but he then realised all the dates fitted. it was a pretty horrible thing with a pretty happy ending. i felt guilt in the marrow of my bones said the ealing north mp. i don t blame lucy s mother. i was pretty much out of control. i was when she was conceived. it was a different time - it was pretty wild. mr pound says he rang lucy as soon as he got her letter they met up and have been in contact ever since. describing that first meeting at london s king cross station he said: the earth went from under my feet ... we were walking across the euston road and i took her arm to take her across and there was an immediate connection. we were finishing each other sentences. lucy who was adopted by a family from essex wants to remain anonymous for the sake of her adoptive father and her children. mr pound said his wife maggie had been fully supportive and their two children emily and pelham were pleased to have an older sister.
2066,blog reading explodes in america americans are becoming avid blog readers with million getting hooked in according to new research. the survey conducted by the pew internet and american life project showed that blog readership has shot up by % in the last year. some of this growth is attributable to political blogs written and read during the us presidential campaign. despite the explosive growth more than % of online americans have still never heard of blogs the survey found. blogs or web logs are online spaces in which people can publish their thoughts opinions or spread news events in their own words. companies such as google and microsoft provide users with the tools to publish their own blogs. the rise of blogs has spawned a new desire for immediate news and information with six million americans now using rss aggregators. rss aggregators are downloaded to pcs and are programmed to subscribe to feeds from blogs news sites and other websites. the aggregators automatically compile the latest information published online from the blogs or news sites. reading blogs remains far more popular than writing them the survey found. only % of the million us adults who use the internet had created a blog or web-based diary. getting involved is becoming more popular though with % saying they had posted material or comments on other people s blogs. just under one in of the us s internet users read political blogs such as the daily kos or instapundit during the us presidential campaign. kerry voters were slightly more likely to read them than bush voters. blog creators were likely to be young well-educated net-savvy males with good incomes and college educations the survey found. this was also true of the average blog reader although the survey found there was a greater than average growth in blog readership among women and those in minorities. the survey was conducted during november and involved telephone surveys of internet users.
77,hodgson relishes european clashes former blackburn boss roy hodgson says the premiership should follow the rest of europe and have a winter break - but insists that a gruelling domestic schedule will not damage the english elite s bid for champions league glory. hodgson - now in charge at viking stavanger - was at liverpool s clash with bayer leverkusen at anfield on tuesday as a member of uefa s technical committee. hodgson is a fierce advocate of the winter break employed throughout europe although not in england - where the champions league contenders have ploughed through a heavy fixture list. but hodgson told bbc sport that while he believes the premiership should embrace the idea he does not expect it to cost the english representatives in the last of the champions league. i just feel it is very difficult to say with certainty that teams who have had the break will have a definite edge. i am a fervent supporter of the break. it gives players the chance to recharge their batteries midway through the season which some suggest will give teams an advantage in the champions league. the other school of thought suggests having a break then coming back to it puts you at a disadvantage. the bigger discussions around the winter break should be to do with the nature of football today the needs of football players and the way the premiership has developed rather than one or two matches in the champions league in february. hodgson believes a winter break carries many advantages explaining: as i said it is the perfect chance to recharge batteries. and certainly if i was still a manager in england i would be supporting any calls for its introduction. in pre-season you get a lot of enthusiasm and energy but by the time you get towards christmas many players having also played plenty of international matches for club and country and travelled a lot find themselves getting very jaded. the break gives them a chance to recover that energy and enthusiasm and perhaps more importantly recover their mental strength during the break and get ready for the games ahead. the mental side is by far the most important thing. hodgson added: the length of breaks can vary. in italy the break was very short. you just took christmas and new year. it was so short you didn t do anything. you gave the players a week or days off then you were training for a week or days and then went into a game. if it is longer it is important those responsible for physical fitness give the players a programme to follow to ensure the physical strength they have accumulated stays with them. and hodgson believes a winter break would be a positive step in the premiership. he said: if we talk about football at elite level which the premiership is then i would support a winter break. if you examine the demands of the premier league and in particular on players who play international football for their club and country then a break would do them the world of good - physically and mentally.
1248,o sullivan quick to hail italians ireland coach eddie o sullivan heaped praise on italy after seeing his side stutter to a - victory in rome. it was a hell of a tough game said o sullivan. we struggled in the first half because we hadn t the football. italy played really well. they handled the ball well in terms of kicking it if that s not an oxymoron. we said before the game that it might take until minutes from the end for this game to be won and that s how it turned out. ireland struggled to cope with italy s fierce start and were indebted to skipper brian o driscoll who set up tries for geordan murphy and peter stringer. we had our first attack in the italian half after minutes said o sullivan. we had a good return with three first-half possessions in their half and we scored twice. the second half was about spending more time in their half. scrum-half peter stringer was also glad that ireland escaped wtih a victory. all credit to them he told bbc sport. we knew it would be tough coming to rome. they always give us a tough game here and they showed a lot of spirit. they had a lot of ball in the first half but we got a few scores when we got into their .
950,uk discriminated against roma the government s immigration rules racially discriminated against roma (gypsies) seeking entry into the uk the law lords have ruled. it follows a home office move to cut asylum claims by stopping people mostly roma from boarding flights to britain from the czech capital prague. civil rights group liberty said it exposed racism at the heart of the government s asylum policy . the home office said it had not meant to discriminate against anyone. it said it would look at the implications of the ruling but pointed out the controls were no longer in place because czechs are now entitled to free movement across europe. the screening took place at the airport in july at a time of concern about the number of asylum seekers entering britain. those refused pre-clearance were effectively prevented from travelling to the uk because no airline would carry them. lady hale sitting with lords bingham steyn hope and carswell said many roma had good reason to want to leave the czech republic because of persecution. but she said they were treated more sceptically than non-roma passengers by immigration officers acting on racial grounds . lady hale said immigration officers should have treated all would-be passengers in the same way only using more intrusive questioning if there was a specific reason. liberty said statistics suggested roma czechs were times more likely to be stopped by british immigration officials at prague airport than non-roma czechs. it took up the case of six unnamed roma czechs refused entry to britain and that of the european roma rights centre which said the measures unfairly penalised roma people. it lost a high court action in october when a judge said the system was no more or less objectionable than a visa control system. he ruled there was no obligation on britain not to take steps to prevent a potential refugee from approaching its border to claim asylum. the court of appeal then decided the practice almost inevitably discriminated against roma but that this was justified because they were more likely to seek asylum. immigration law allows officials to discriminate against citizens from named countries but it does not allow officers to go further than that. responding to the ruling a home office spokesman said: the scheme was operated two years ago as a short-term response to the high levels of passengers travelling from prague who are subsequently found to be ineligible for entry to the uk. welcoming the ruling maeve sherlock chief executive of the refugee council said: human rights abuses against the roma in eastern europe are well documented and it is hugely troubling that the government sought to deny entry to such a vulnerable group. amnesty international s jan shaw said: that the government s own asylum policy was being operated discriminatorily is bleakly ironic given that discrimination often lies at the heart of serious human rights abuse not least in the czech republic. but the chairman of migration watch uk sir andrew green said the house of lords decision was a step in the wrong direction . the basic point is that the government has a duty to control our borders and this decision appears to extend the race relations legislation beyond sensible limits.
1432,fao warns on impact of subsidies billions of farmers livelihoods are at risk from falling commodity prices and protectionism the un s food & agriculture organisation has warned. trade barriers and subsidies severely distort the market the fao report on the state of agricultural commodity markets said. as a result the . billion people in the developing world who rely on farming face food insecurity. the most endangered are those who live in the least-developed countries. the fao report said that support for farmers in industrialised nations was equivalent to times the amount provided as aid for agricultural development in poor countries. the fao has urged the world trade organisation to swiftly conclude negotiations to liberalise trade easing developing countries access to the world market. it also criticised the high tariffs imposed by both developed and developing nations. it recommends that developing countries reduce their own tariffs to encourage trade and take advantage of market liberalisation. according to the organisation subsidies and high tariffs have a strong impact on the trade of products such as cotton and rice. global exports of these products are mainly in the hands of the european union and the us who - thanks to subsidies - sell them at very low prices. in fact almost wealthy nations spend more than $ (£.; . euros) in agricultural subsidies. the market situation has divided developing nations in two groups the fao said. the first group have a reasonably diverse range of agricultural products while in the second group agriculture lies largely in the hands of small-scale producers. for developing countries more than % of their export incomes come from the sale of just one product. these countries are mainly situated in sub-saharan africa latin america and the caribbean.
